id minIntensity maxIntensity rotCorrection_ vertCorrection_ distCorrection_ distCorrectionX_ distCorrectionY_ vertOffsetCorrection_ horizOffsetCorrection_ focalDistance_ focalSlope_
50	0	255	-1.63113300	-18.4078250	118.727070	128.068760	121.129360	15.4830280	2.59999990	1300	0.810
51	0	255	1.89609990	-18.0379910	113.271510	119.876460	117.812260	15.4385700	-2.59999990	900	0.755999980
52	30	255	6.26539750	-14.3015270	130.442470	135.371990	134.544950	14.9990780	2.59999990	25	0.810
53	0	255	9.67640500	-13.8386930	115.413200	119.459110	118.519620	14.9457300	-2.59999990	900	1.70
54	10	255	5.12733220	-17.4003640	129.416750	135.149700	131.792570	15.3623580	2.59999990	25	0.550000010
55	0	255	8.53771500	-16.8870330	115.418370	120.966970	118.733560	15.3013880	-2.59999990	1200	1.85
56	0	255	-6.94062330	-10.0397790	134.017180	137.090440	136.048390	14.5151290	2.59999990	500	1.30
57	20	255	-3.66219280	-9.75562760	121.436770	124.142610	125.034360	14.4833740	-2.59999990	25	0.850000020
58	0	255	-8.24537560	-13.1187750	135.316310	139.895160	136.461880	14.8631660	2.59999990	1100	2
59	0	255	-4.89892630	-12.7627840	120.360890	124.035260	124.361070	14.8225200	-2.59999990	500	0.810
60	0	255	-0.338196100	-9.24293990	135.099260	136.773130	136.932330	14.4262150	2.59999990	200	1
61	40	255	2.90719530	-8.78595830	123.184980	123.603540	125.889970	14.3754060	-2.59999990	25	1.05
62	0	255	-1.58713870	-12.2716600	127.464540	132.641660	130.979350	14.7666300	2.59999990	1200	0.899999980
63	0	255	1.74709070	-11.8572440	120.103500	123.495090	124.249870	14.7196330	-2.59999990	200	0.410
